Bot,Simulation,q,Time Step,Result
Bot2,84,0.00,17,Success
Bot3,84,0.00,17,Success
Bot4,84,0.00,17,Success
Bot1,85,0.00,22,Success
Bot2,85,0.00,22,Success
Bot3,85,0.00,22,Success
Bot4,85,0.00,22,Success
Bot1,86,0.00,29,Success
Bot2,86,0.00,29,Success
Bot3,86,0.00,29,Success
Bot4,86,0.00,29,Success
Bot1,87,0.00,32,Success
Bot2,87,0.00,34,Success
Bot3,87,0.00,32,Success
Bot4,87,0.00,32,Success
Bot1,88,0.00,39,Success
Bot2,88,0.00,39,Success
Bot3,88,0.00,41,Success
Bot4,88,0.00,39,Success
Bot1,89,0.00,42,Success
Bot2,89,0.00,42,Success
Bot3,89,0.00,42,Success
Bot4,89,0.00,42,Success
Bot1,90,0.00,21,Success
Bot2,90,0.00,21,Success
Bot3,90,0.00,21,Success
Bot4,90,0.00,21,Success
Bot1,91,0.00,12,Success
Bot2,91,0.00,12,Success
Bot3,91,0.00,12,Success
Bot4,91,0.00,12,Success
Bot1,92,0.00,25,Success
Bot2,92,0.00,25,Success
Bot3,92,0.00,25,Success
Bot4,92,0.00,25,Success
Bot1,93,0.00,24,Success
Bot2,93,0.00,26,Success
Bot3,93,0.00,24,Success
Bot4,93,0.00,24,Success
Bot1,94,0.00,34,Success
Bot2,94,0.00,34,Success
Bot3,94,0.00,34,Success
Bot4,94,0.00,34,Success
Bot1,95,0.00,30,Success
Bot2,95,0.00,30,Success
Bot3,95,0.00,30,Success
Bot4,95,0.00,30,Success
Bot1,96,0.00,29,Success
Bot2,96,0.00,31,Success
Bot3,96,0.00,29,Success
Bot4,96,0.00,29,Success
Bot1,97,0.00,44,Success
Bot2,97,0.00,48,Success
Bot3,97,0.00,44,Success
Bot4,97,0.00,44,Success
Bot1,98,0.00,22,Success
Bot2,98,0.00,22,Success
Bot3,98,0.00,22,Success
Bot4,98,0.00,22,Success
Bot1,99,0.00,41,Success
Bot2,99,0.00,41,Success
Bot3,99,0.00,41,Success
Bot4,99,0.00,41,Success
Bot1,100,0.00,17,Success
Bot2,100,0.00,17,Success
Bot3,100,0.00,17,Success
Bot4,100,0.00,17,Success
Bot1,1,0.10,26,Success
Bot2,1,0.10,26,Success
Bot3,1,0.10,26,Success
Bot4,1,0.10,26,Success
Bot1,2,0.10,7,Success
Bot2,2,0.10,7,Success
Bot3,2,0.10,7,Success
Bot4,2,0.10,7,Success
